Id,Prediction
0,3660168.6666666665
1,4219700.222222222
2,4620810.666666667
3,3067481.222222222
4,4661991.222222222
5,3935932.777777778
6,3815259.222222222
7,4141719.5555555555
8,4588130.444444444
9,3636647.5555555555
10,3433403.222222222
11,4842841.0
12,5446995.0
13,5435090.333333333
14,3340352.3333333335
15,3628285.0
16,5683052.444444444
17,3621230.777777778
18,5104905.0
19,4073942.0
20,6489990.222222222
21,5148035.444444444
22,4667639.0
23,5113698.333333333
24,6025328.222222222
25,3809494.111111111
26,2681112.4444444445
27,5060449.444444444
28,4876539.222222222
29,3942088.4444444445
30,3382307.3333333335
31,2956816.0
32,4793950.111111111
33,4265671.777777778
34,3370296.111111111
35,2777062.0
36,4031322.0
37,3468642.3333333335
38,2717094.4444444445
39,4522405.888888889
40,5113925.555555556
41,4574469.111111111
42,5007832.666666667
43,4534730.111111111
44,6224625.333333333
45,3961511.111111111
46,3518410.111111111
47,4012946.5555555555
48,4558959.222222222
49,4769872.444444444
50,5112311.555555556
51,4839112.666666667
52,3473321.6666666665
53,3857587.222222222
54,3130701.777777778
55,3511714.888888889
56,4525040.222222222
57,4454471.777777778
58,4476839.222222222
59,4962708.444444444
60,3770665.222222222
61,3253278.111111111
62,5083268.666666667
63,3028787.111111111
64,4108890.0
65,5593536.333333333
66,4967169.777777778
67,6042915.888888889
68,4541291.222222222
69,4285571.111111111
70,4196239.888888889
71,4764278.444444444
72,4662083.555555556
73,3724728.3333333335
74,5590263.222222222
75,4179791.222222222
76,4783075.444444444
77,4090576.4444444445
78,5504121.777777778
79,3750734.6666666665
80,4794087.333333333
81,5907346.111111111
82,4450352.0
83,6151642.444444444
84,5080454.777777778
85,2611438.888888889
86,3371374.111111111
87,6039318.777777778
88,5466199.777777778
89,4089261.6666666665
90,5312287.888888889
91,5082098.444444444
92,2851474.111111111
93,4824259.555555556
94,4921748.777777778
95,5004493.0
96,4086678.6666666665
97,4365786.0
98,4598178.0
99,4925124.333333333
100,3313078.0
101,3080314.777777778
102,3979464.3333333335
103,3372060.777777778
104,4824110.777777778
105,3901348.0
106,6109880.333333333
107,3733840.111111111
108,4756993.111111111
109,3990549.3333333335
110,4547606.777777778
111,4957058.777777778
112,5176939.777777778
113,4674053.888888889
114,3360233.5555555555
115,4856278.222222222
116,3468448.5555555555
117,5804195.888888889
118,3929672.3333333335
119,5377617.777777778
120,4399655.0
121,4536499.444444444
122,3475151.222222222
123,5966880.666666667
124,4160355.222222222
125,4694801.888888889
126,3358624.222222222
127,4509532.555555556
128,5241448.666666667
129,3623731.6666666665
130,4106312.5555555555
131,4633746.777777778
132,6566315.222222222
133,3501057.5555555555
134,3684683.111111111
135,3297380.0
136,4134885.0
137,4095823.5555555555
138,4098662.6666666665
139,3312767.4444444445
140,5330089.888888889
141,3693908.4444444445
142,5052092.555555556
143,3832381.0
144,3751158.111111111
145,3252091.4444444445
146,4929169.0
147,3014955.0
148,3808408.888888889
149,4856621.777777778
150,3944106.6666666665
151,3739192.5555555555
152,5268602.666666667
153,5633435.777777778
154,3066232.777777778
155,5468963.888888889
156,4329066.888888889
157,4796317.0
158,2736038.0
159,3981115.3333333335
160,4001423.222222222
161,5605174.444444444
162,4027693.5555555555
163,6240532.333333333
164,4603230.111111111
165,4936578.111111111
166,4907698.111111111
167,5826109.555555556
168,3854520.3333333335
169,4982141.444444444
170,3942843.111111111
171,2707642.3333333335
172,4794087.333333333
173,4888933.888888889
174,6557591.222222222
175,4085298.111111111
176,5863695.222222222
