Id,Prediction
0,3317873.1666666665
1,3317873.1666666665
2,3317873.1666666665
3,3317873.1666666665
4,3317873.1666666665
5,4401224.2608695654
6,4401224.2608695654
7,3317873.1666666665
8,5308332.118644068
9,5308332.118644068
10,4401224.2608695654
11,3317873.1666666665
12,16549064.0
13,4401224.2608695654
14,4401224.2608695654
15,3317873.1666666665
16,5308332.118644068
17,4401224.2608695654
18,3317873.1666666665
19,4401224.2608695654
20,5308332.118644068
21,4401224.2608695654
22,5308332.118644068
23,5308332.118644068
24,4401224.2608695654
25,3317873.1666666665
26,3317873.1666666665
27,3317873.1666666665
28,5308332.118644068
29,4401224.2608695654
30,5308332.118644068
31,4401224.2608695654
32,4401224.2608695654
33,5308332.118644068
34,3317873.1666666665
35,4401224.2608695654
36,4401224.2608695654
37,5308332.118644068
38,3317873.1666666665
39,4401224.2608695654
40,3317873.1666666665
41,4401224.2608695654
42,4401224.2608695654
43,5308332.118644068
44,5308332.118644068
45,3317873.1666666665
46,3317873.1666666665
47,3317873.1666666665
48,4401224.2608695654
49,5308332.118644068
50,5308332.118644068
51,5308332.118644068
52,3317873.1666666665
53,3317873.1666666665
54,3317873.1666666665
55,4401224.2608695654
56,5308332.118644068
57,4401224.2608695654
58,4401224.2608695654
59,5308332.118644068
60,3317873.1666666665
61,5308332.118644068
62,4401224.2608695654
63,3317873.1666666665
64,4401224.2608695654
65,5308332.118644068
66,5308332.118644068
67,5308332.118644068
68,4401224.2608695654
69,4401224.2608695654
70,3317873.1666666665
71,3317873.1666666665
72,4401224.2608695654
73,3317873.1666666665
74,5308332.118644068
75,5308332.118644068
76,5308332.118644068
77,4401224.2608695654
78,4401224.2608695654
79,3317873.1666666665
80,5308332.118644068
81,3317873.1666666665
82,5308332.118644068
83,5308332.118644068
84,5308332.118644068
85,3317873.1666666665
86,4401224.2608695654
87,4401224.2608695654
88,5308332.118644068
89,4401224.2608695654
90,5308332.118644068
91,5308332.118644068
92,3317873.1666666665
93,4401224.2608695654
94,5308332.118644068
95,5308332.118644068
96,4401224.2608695654
97,4401224.2608695654
98,3317873.1666666665
99,4401224.2608695654
100,5308332.118644068
101,3317873.1666666665
102,5308332.118644068
103,5308332.118644068
104,5308332.118644068
105,3317873.1666666665
106,5308332.118644068
107,5308332.118644068
108,5308332.118644068
109,4401224.2608695654
110,5308332.118644068
111,5308332.118644068
112,3317873.1666666665
113,4401224.2608695654
114,3317873.1666666665
115,3317873.1666666665
116,4401224.2608695654
117,4401224.2608695654
118,3317873.1666666665
119,5308332.118644068
120,4401224.2608695654
121,5308332.118644068
122,3317873.1666666665
123,5308332.118644068
124,3317873.1666666665
125,3317873.1666666665
126,5308332.118644068
127,3317873.1666666665
128,5308332.118644068
129,4401224.2608695654
130,3317873.1666666665
131,4401224.2608695654
132,5308332.118644068
133,3317873.1666666665
134,4401224.2608695654
135,3317873.1666666665
136,4401224.2608695654
137,4401224.2608695654
138,5308332.118644068
139,4401224.2608695654
140,5308332.118644068
141,5308332.118644068
142,5308332.118644068
143,5308332.118644068
144,3317873.1666666665
145,3317873.1666666665
146,4401224.2608695654
147,3317873.1666666665
148,3317873.1666666665
149,3317873.1666666665
150,5308332.118644068
151,5308332.118644068
152,5308332.118644068
153,5308332.118644068
154,3317873.1666666665
155,5308332.118644068
156,5308332.118644068
157,3317873.1666666665
158,4401224.2608695654
159,4401224.2608695654
160,3317873.1666666665
161,5308332.118644068
162,5308332.118644068
163,4401224.2608695654
164,5308332.118644068
165,5308332.118644068
166,4401224.2608695654
167,3317873.1666666665
168,3317873.1666666665
169,3317873.1666666665
170,3317873.1666666665
171,3317873.1666666665
172,4401224.2608695654
173,5308332.118644068
174,3317873.1666666665
175,4401224.2608695654
176,5308332.118644068
177,4401224.2608695654
178,4401224.2608695654
179,4401224.2608695654
180,5308332.118644068
181,3317873.1666666665
182,5308332.118644068
183,5308332.118644068
184,4401224.2608695654
185,3317873.1666666665
186,5308332.118644068
187,4401224.2608695654
188,5308332.118644068
189,5308332.118644068
190,5308332.118644068
191,4401224.2608695654
192,5308332.118644068
193,3317873.1666666665
194,3317873.1666666665
195,4401224.2608695654
196,5308332.118644068
197,3317873.1666666665
198,4401224.2608695654
199,3317873.1666666665
200,5308332.118644068
201,4401224.2608695654
202,5308332.118644068
203,5308332.118644068
204,5308332.118644068
205,5308332.118644068
206,5308332.118644068
207,4401224.2608695654
208,3317873.1666666665
209,3317873.1666666665
210,5308332.118644068
211,3317873.1666666665
212,5308332.118644068
213,3317873.1666666665
214,5308332.118644068
